"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"August 2017","Surrey","E10000030","Value","total","Total",22630,"Normal Value"
"August 2017","West Sussex","E10000032","Value","total","Total",22230,"Normal Value"
"August 2017","Bath and North East Somerset","E06000022","Value","total","Total",3700,"Normal Value"
"August 2017","Bournemouth","E06000028","Value","total","Total",8340,"Normal Value"
"August 2017","Bristol, City of","E06000023","Value","total","Total",19330,"Normal Value"
"August 2017","Cornwall","E06000052","Value","total","Total",21400,"Normal Value"
"August 2017","Isles of Scilly","E06000053","Value","total","Total",20,"Normal Value"
"August 2017","North Somerset","E06000024","Value","total","Total",7080,"Normal Value"
"August 2017","Plymouth","E06000026","Value","total","Total",13100,"Normal Value"
"August 2017","Poole","E06000029","Value","total","Total",4340,"Normal Value"
"August 2017","South Gloucestershire","E06000025","Value","total","Total",6380,"Normal Value"
"August 2017","Swindon","E06000030","Value","total","Total",5910,"Normal Value"
"August 2017","Torbay","E06000027","Value","total","Total",7280,"Normal Value"
"August 2017","Wiltshire","E06000054","Value","total","Total",11050,"Normal Value"
"August 2017","Devon","E10000008","Value","total","Total",23790,"Normal Value"
"August 2017","Dorset","E10000009","Value","total","Total",11550,"Normal Value"
"August 2017","Gloucestershire","E10000013","Value","total","Total",18170,"Normal Value"
"August 2017","Somerset","E10000027","Value","total","Total",14790,"Normal Value"
"August 2017","Anglesey","W06000001","Value","total","Total",2880,"Normal Value"
"August 2017","Gwynedd","W06000002","Value","total","Total",4450,"Normal Value"
"August 2017","Conwy","W06000003","Value","total","Total",5350,"Normal Value"
"August 2017","Denbighshire","W06000004","Value","total","Total",5020,"Normal Value"
"August 2017","Flintshire","W06000005","Value","total","Total",5230,"Normal Value"
"August 2017","Wrexham","W06000006","Value","total","Total",6220,"Normal Value"
"August 2017","Powys","W06000023","Value","total","Total",4920,"Normal Value"
"August 2017","Ceredigion","W06000008","Value","total","Total",2960,"Normal Value"
"August 2017","Pembrokeshire","W06000009","Value","total","Total",5370,"Normal Value"
