ZoneSystem,ZoneID,Forecast,Year,Jobs,TotalPopn,HH,PopWorkAge,PopPensionAge,EcActive,In_GLA
Railplan,"4,578",GLA,"2,011",689,"3,406","1,078","2,214","1,260","2,214",TRUE
Railplan,"4,579",GLA,"2,011","1,095","4,720","1,483","3,008","1,937","3,008",TRUE
Railplan,"4,580",GLA,"2,011","1,449","5,110","1,718","3,297","2,151","3,297",TRUE
Railplan,"4,581",GLA,"2,011","1,379","3,697","1,267","2,361","1,554","2,361",TRUE
Railplan,"4,582",GLA,"2,011",393,"4,575","1,582","2,901","1,912","2,900",TRUE
Railplan,"4,583",GLA,"2,011",803,"4,657","1,681","2,850","1,891","2,850",TRUE
Railplan,"4,584",GLA,"2,011","2,671","3,699","1,335","2,262","1,500","2,262",TRUE
Railplan,"4,586",GLA,"2,011","1,694","1,876",601,"1,226",716,"1,226",TRUE
Railplan,"4,587",GLA,"2,011","2,657","3,697","1,186","2,418","1,417","2,418",TRUE
Railplan,"4,588",GLA,"2,011","1,097","5,509","1,767","3,602","2,108","3,602",TRUE
Railplan,"4,589",GLA,"2,011",848,"4,688","1,500","2,901","1,888","2,901",TRUE
Railplan,"4,590",GLA,"2,011",791,"5,936","1,913","3,874","2,279","3,874",TRUE
Railplan,"4,591",GLA,"2,011",494,"5,193","1,780","3,072","2,016","3,072",TRUE
Railplan,"4,592",GLA,"2,011",994,"1,983",698,"1,230",828,"1,230",TRUE
Railplan,"4,593",GLA,"2,011","3,257",664,269,412,269,412,TRUE
Railplan,"4,594",GLA,"2,011",740,813,334,492,325,492,TRUE
Railplan,"4,595",GLA,"2,011",133,"3,360","1,219","1,998","1,304","1,998",TRUE
Railplan,"4,596",GLA,"2,011",667,"4,041","1,458","2,399","1,564","2,399",TRUE
Railplan,"4,597",GLA,"2,011",948,"3,615","1,481","2,192","1,452","2,192",TRUE
Railplan,"4,598",GLA,"2,011",133,"4,436","1,821","2,685","1,774","2,685",TRUE
Railplan,"4,599",GLA,"2,011",531,"4,664","1,914","2,824","1,865","2,824",TRUE
Railplan,"4,660",GLA,"2,011",283,"2,651","1,067","1,666","1,229","1,667",TRUE
Railplan,"4,661",GLA,"2,011",115,"2,180",909,"1,390","1,019","1,389",TRUE
Railplan,"4,662",GLA,"2,011","1,186","3,931","1,677","2,584","2,035","2,584",TRUE
Railplan,"4,663",GLA,"2,011",291,"2,566","1,099","1,697","1,338","1,697",TRUE
Railplan,"4,664",GLA,"2,011",114,"3,206",950,"1,992",974,"1,992",TRUE
Railplan,"4,665",GLA,"2,011",437,"4,692","1,381","2,914","1,457","2,914",TRUE
Railplan,"4,666",GLA,"2,011","1,068","5,046","1,504","3,148","1,584","3,148",TRUE
Railplan,"4,667",GLA,"2,011","1,052","4,825","1,441","3,005","1,473","3,005",TRUE
Railplan,"4,668",GLA,"2,011","1,877","1,416",500,937,484,937,TRUE
Railplan,"4,669",GLA,"2,011",486,"4,233","1,457","2,780","1,614","2,780",TRUE
Railplan,"4,670",GLA,"2,011","3,232","1,024",363,678,351,678,TRUE
Railplan,"4,671",GLA,"2,011","2,594","1,074",369,707,385,707,TRUE
Railplan,"4,672",GLA,"2,011",839,"3,951","1,318","2,584","1,499","2,584",TRUE
Railplan,"4,673",GLA,"2,011","2,582","1,560",536,"1,024",601,"1,024",TRUE
Railplan,"4,674",GLA,"2,011",405,"4,381","1,489","2,867","1,692","2,867",TRUE
Railplan,"4,675",GLA,"2,011",353,"4,347","1,805","2,748","2,074","2,748",TRUE
Railplan,"4,676",GLA,"2,011","1,304","2,894","1,282","1,852","1,466","1,852",TRUE
Railplan,"4,677",GLA,"2,011",347,"3,539","1,559","2,265","1,786","2,265",TRUE
Railplan,"4,678",GLA,"2,011","1,582","3,063","1,357","1,962","1,552","1,962",TRUE
Railplan,"4,679",GLA,"2,011","1,151","6,357","1,907","4,015","2,546","4,015",TRUE
Railplan,"4,680",GLA,"2,011",752,"1,700",661,"1,067",746,"1,067",TRUE
Railplan,"4,681",GLA,"2,011","1,104","4,512","1,779","2,845","2,007","2,845",TRUE
Railplan,"4,682",GLA,"2,011",158,"5,312","2,090","3,346","2,358","3,346",TRUE
Railplan,"4,683",GLA,"2,011",492,"5,044","1,710","3,047","2,052","3,047",TRUE
Railplan,"4,684",GLA,"2,011","1,450","4,143","1,332","2,539","1,746","2,539",TRUE
Railplan,"4,685",GLA,"2,011",362,"5,144","1,669","3,140","2,181","3,140",TRUE
Railplan,"4,686",GLA,"2,011",250,"3,915","1,656","2,630","2,044","2,630",TRUE
Railplan,"4,687",GLA,"2,011","1,058","2,963","1,252","1,992","1,548","1,992",TRUE
Railplan,"4,688",GLA,"2,011",116,"2,430",944,"1,559","1,082","1,559",TRUE
Railplan,"4,689",GLA,"2,011","1,117","4,397","1,694","2,815","1,954","2,814",TRUE
Railplan,"4,690",GLA,"2,011",184,"1,773",736,"1,131",826,"1,131",TRUE
Railplan,"4,691",GLA,"2,011",539,"2,512","1,047","1,601","1,174","1,601",TRUE
Railplan,"4,692",GLA,"2,011","1,118","3,708","1,501","2,370","1,698","2,370",TRUE
Railplan,"4,693",GLA,"2,011",181,"3,584","1,594","2,311","1,793","2,311",TRUE
Railplan,"4,694",GLA,"2,011","1,427","1,887",833,"1,239",967,"1,239",TRUE
Railplan,"4,695",GLA,"2,011","1,542","3,041","1,322","2,057","1,625","2,057",TRUE
Railplan,"4,696",GLA,"2,011",63,"1,605",662,998,781,998,TRUE
Railplan,"4,697",GLA,"2,011",942,"2,952","1,173","1,698","1,327","1,698",TRUE
Railplan,"4,698",GLA,"2,011","1,254","3,655","1,507","2,273","1,779","2,273",TRUE
Railplan,"4,699",GLA,"2,011",493,"4,189","1,659","2,392","1,870","2,392",TRUE
Railplan,"4,704",GLA,"2,011",89,414,170,279,0,0,FALSE
Railplan,"4,779",GLA,"2,011",182,"1,054",407,621,0,0,FALSE
Railplan,"4,780",GLA,"2,011",781,"3,864","1,566","2,407",0,0,FALSE
Railplan,"4,782",GLA,"2,011",267,"1,506",546,941,0,0,FALSE
Railplan,"4,783",GLA,"2,011","1,287","4,564","1,704","2,784",0,0,FALSE
Railplan,"4,784",GLA,"2,011",401,"3,853","1,439","2,347",0,0,FALSE
Railplan,"4,785",GLA,"2,011","1,181","1,564",595,954,0,0,FALSE
